Name,Description,Designator,LCSC Part #

"0.1uF","Cap 0402","C1_S1, C1_S2, C1_S3, C1_S4, C2_S1, C2_S2, C2_S3, C2_S4, C3_S1, C3_S2, C3_S3, C3_S4, C5_S1, C5_S2, C5_S3, C5_S4, C7_S1, C7_S2, C7_S3, C7_S4, C8_S1, C8_S2, C8_S3, C8_S4, C9_S1, C9_S2, C9_S3, C9_S4","C100072"
"1nF","Cap 0402","C4_S1, C4_S2, C4_S3, C4_S4, C6_S1, C6_S2, C6_S3, C6_S4, C10","C1791"
"1uF","Cap 0402","C11","C1791"
"1.4k","","R3_S1, R3_S2, R3_S3, R3_S4","C25957"
"10k","","R1_S1, R1_S2, R1_S3, R1_S4, R2_S1, R2_S2, R2_S3, R2_S4, R4_S1, R4_S2, R4_S3, R4_S4, R5_S1, R5_S2, R5_S3, R5_S4, R6_S1, R6_S2, R6_S3, R6_S4, R7_S1, R7_S2, R7_S3, R7_S4, R8_S1, R8_S2, R8_S3, R8_S4, R9_S1, R9_S2, R9_S3, R9_S4, R10_S1, R10_S2, R10_S3, R10_S4, R11_S1, R11_S2, R11_S3, R11_S4, R12_S1, R12_S2, R12_S3, R12_S4, R13_S1, R13_S2, R13_S3, R13_S4, R14_S1, R14_S2, R14_S3, R14_S4","C60490"
"10K","","R15, R16","C191915"
"DIP32","","J1, J2",""
"LMV7219M7/NOPB","7 nsec, 2.7V to 5V Comparator with Rail-to- Rail Output, 5-pin SC-70, Pb-Free","U1_S1, U1_S2, U1_S3, U1_S4, U4_S1, U4_S2, U4_S3, U4_S4","C129336"
"OPA340NA/250","Single-Supply, Rail-to-Rail Operational Amplifier MicroAmplifier(TM) Series, 2.7 to 5.5 V, -40 to 85 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)","U7","C181370"
"OPA2172IDGK","Dual, 36-V, 10-MHz, low-power operational amplifier 8-VSSOP -40 to 125","U5_S1, U5_S2, U5_S3, U5_S4","C2059364"
"TLV2372IDGK","Dual, 16-V, 3-MHz, RRIO operational amplifier 8-VSSOP -40 to 125","U3_S1, U3_S2, U3_S3, U3_S4","C168737"
"TS5A3159QDBVRQ1","Automotive 1-‚Ą|, 5-V, 2:1 (SPDT), 1-channel analog multiplexer with powered-off protection 6-SOT-23 -40 to 125","U2_S1, U2_S2, U2_S3, U2_S4, U6_S1, U6_S2, U6_S3, U6_S4","C2651905"
